word,clue
Blossom,when petals open up on a tree branch
Parade,a festive marching procession down the street
Fashion,the world of style and trendy apparel
Trash Can,a container where you throw away garbage
Wedding,a ceremony celebrating two people becoming one
Snowman,a figure built from packed white powder with a carrot nose
Kung Fu Panda,an animated film about a martial arts bear
Wings,the paired appendages that let creatures soar
Marker,a felt-tipped pen used for bold strokes
Pilot,the person who steers an aircraft
Lawyer,a professional who represents clients in court
Alligator,a large scaly reptile lurking in swamps
Hair Salon,a place where you get your locks trimmed
Orange,a common citrus fruit with a peel
Picture Frame,a border that surrounds and displays an image
Makeup,cosmetics applied to enhance appearance
Purse,a small handbag for personal belongings
Tutor,a private instructor who helps with homework
Worry,an uneasy feeling about something that might go wrong
Nervous,feeling tense and uneasy before something important
Moose,a large creature with broad flat headgear found in Canada
Camel,a tall creature with a back lump found in arid lands
Shampoo,a sudsy liquid for scrubbing your scalp
Watch,a small timepiece worn on your arm
Bridge,a structure that spans a gap or valley
Brush,a tool with clustered fibers for grooming or painting
License,an official document granting permission
Shout,to raise your voice very loudly
Librarian,a person who organizes and manages reading materials
Unlock,to open something that is secured with a latch
Liberty,the state of being unrestricted and autonomous
Pear,a green bell-shaped produce that grows on branches
Radio,a device that receives broadcast audio signals
Jumping,the act of propelling yourself off the ground
Glove,a covering for your fingers worn in chilly weather
Midterm,an assessment given partway through a semester
Tornado,a violently rotating funnel of air
Melt,to change from solid to flowing form using warmth
Wheelchair,a seated device with rolling circles for mobility
Mature,having reached full development or adulthood
Monster,a frightening imaginary beast
Daisy,a simple bloom with petals around a center
Custom,a habitual practice passed through generations
Politics,the activities of governing and public affairs
Curtain,a hanging fabric that covers a pane or stage
Guitar,a six-stringed wooden device you strum
Cruel,deliberately causing harm or distress to others
Chalk,a soft writing stick used on a dark board
Milk,a creamy fluid produced by cows
Bottle,a narrow-necked container for holding liquids
Table,a flat-topped piece of furniture with four supports
Famous,widely recognized and celebrated by many
Distance,how much space separates two points
Elderly,a person in the later stage of life
Train,a linked chain of carriages running on steel tracks
Fish,an aquatic creature with scales and fins
Needle,a very thin pointed tool for stitching fabric
Joy,an intense feeling of delight and gladness
Monkey,a playful primate that climbs trees
Firecracker,a small paper tube that pops and bangs
Shark,a large predatory creature with fins in deep waters
Superman,a caped comic-book character from Krypton
Window,an opening in a wall that lets in daylight
Sun,the star at the center of our system that gives us daylight
Desk,a piece of furniture you work and study at
Coffee,a hot brewed beverage made from roasted beans
Bells,hollow metal objects that chime when struck
Candle,a cylinder of tallow with a string in the middle
Heart,the organ in your chest that pumps blood
Egg Roll,a crispy fried wrapper filled with mixed fillings
Headache,a throbbing pain inside your skull
Santa,the jolly figure who delivers presents in December
Discuss,to exchange viewpoints on a topic
Bank,a financial institution that holds your savings
Promise,a sincere commitment to do something
Caterpillar,a fuzzy larval stage before it becomes a winged creature
Ugly,very unattractive in appearance
Pregnant,expecting a child to arrive in several months
Stupid,lacking basic common sense
Towel,an absorbent cloth for drying off after getting wet
Spoon,a rounded utensil for scooping liquids
Infant,a very small child just months old
London,the capital of the United Kingdom
"Paris, France",the city of lights with a famous iron landmark
Camping,sleeping outdoors in nature under the stars
Exchange,trading one thing for another of equal value
Theater,a venue where films or performances are shown
Gold,a precious yellow element valued throughout history
Death,the permanent end of all biological functions
Flag,a piece of colored cloth representing a nation
Knee,the hinge in the middle of your leg
Describe,to explain what something looks or feels like
Web,a silken structure spun by an eight-legged creature
Toothbrush,a small handled tool for scrubbing your mouth
Fly,to move through the air above the ground
Worm,a legless creature that burrows through soil
Machine,an apparatus built from working components
Biology,the study of living organisms
Spiderman,a masked web-slinging Marvel character
Chemistry,the study of elements and molecular reactions
Waitress,a woman who takes orders and delivers plates
History,the study of what occurred in earlier times
Wash,to scrub something with water until it is spotless
Magazine,a periodic glossy publication with articles
Unfair,not balanced or equitable for everyone
CD,a shiny circular medium for storing audio
Ice,the frozen solid form of water
Immediately,right away without any hesitation
Salt,a common granular mineral for seasoning meals
Danger,a situation where you could get hurt
Stand,to be upright on your two legs
Bull,a large male bovine with curved pointed headgear
Magic,supernatural illusions and mysterious abilities
Peaceful,serene and free from disturbance
Naughty,misbehaving and not following the rules
Normal,ordinary and not unusual in any way
Rescue,to pull someone out of a perilous situation
Original,the very earliest version of something
Match,a small stick you strike to produce flame
Hippo,a hefty semi-aquatic mammal with a wide mouth
Cookbook,a collection of recipes bound together
Fairy Tale,an enchanting fictional narrative with mythical beings
Continent,a massive unbroken landmass on the planet
Literature,published creative and scholarly prose
Director,the person who guides actors on a film set
Globe,a spherical representation of our planet
Advice,a suggestion offered to help someone decide
