word,taboo_words
Car,driver ; ride ; transport ; fast ; travel
Liberty,Freedom ; Statue ; Power ; Choose ; Decide
Pear,Apple ; Fruit ; Shape ; Tree ; Juice
Radio,Listen ; Music ; AM ; FM ; News
Jumping,Leap ; Up ; Down ; Excited ; Action
Glove,Hand ; Cold ; Winter ; Disposable ; Mitten
Midterm,Test ; Exam ; Half ; Final ; School
Tornado,Storm ; Dorothy ; Swirl ; Wind ; Blow
Melt,Soft ; Warm ; Ice ; Heat ; Liquid
Wheelchair,Cripple ; Handicapped ; Legs ; Old ; Elderly
Mature,Old ; Wise ; Develop ; Grown ; Advance
Monster,Scary ; Green ; Alien ; Zombie ; Create
Daisy,White ; Yellow ; Flower ; Duck ; Field
Custom,Culture ; Way ; Tradition ; Behave ; Society
Politics,Law ; President ; Leaders ; Country ; Citizen
Curtain,Red ; Window ; Light ; Cloth ; Play
Guitar,Instrument ; Play ; Strings ; Strum ; Music
Cruel,Mean ; Angry ; Unkind ; Pain ; Suffering
Chalk,White ; Dust ; Teach ; Blackboard ; Erase
Milk,White ; Liquid ; Drink ; Bones ; Cow
Bottle,Feed ; Baby ; Glass ; Juice ; Water
Table,Eat ; Chairs ; Legs ; Study ; Wooden
Famous,Popular ; Known ; Important ; Recognize ; Position
Distance,Length ; Mile ; Meter ; Space ; Far Away
New York,Statue ; Apple ; City ; America ; Busy
Elderly,Old ; Nurse ; Aged ; Adult ; Health
Train,Ride ; Travel ; Cheap ; Railroad ; Choo-Choo
Fish,Swim ; Gills ; River ; Eat ; Catch
Needle,Haystack ; Sharp ; Small ; Metal ; Sew
Joy,Happy ; Celebrate ; Excited ; Pleasure ; Feeling
Monkey,Swing ; Banana ; Zoo ; Brown ; Animal
Firecracker,Explode ; Loud ; Red ; Light ; Holiday
Shark,Swim ; Teeth ; Dangerous ; Ocean ; Sea
Superman,Fly ; Hero ; Bird ; Plane ; Clark Kent
Window,Curtain ; Glass ; Screen ; Home ; Door
Sun,Warm ; Yellow ; Light ; Solar ; Planet
Desk,Homework ; Sit ; Wooden ; Classroom ; Student
Coffee,Tea ; Brown ; Drink ; Caffeine ; Starbucks
Bells,Ring ; Silver ; Hear ; Metal ; Gold
Candle,Bright ; Light ; Wax ; Burn ; Wick
Heart,Shape ; Beat ; Broken ; Body ; Love
Egg Roll,Spring ; Vegetable ; Round ; China ; Food
Headache,Pound ; Beat ; Medicine ; Sick ; Rush
Santa,Fat ; Man ; Christmas ; Claus ; Gifts
Discuss,Talk ; Debate ; Ideas ; Oppose ; Share
Bank,Robbery ; Money ; Safe ; Deposit ; Invest
Promise,Vow ; Pledge ; Expect ; Reassure ; Marry
Caterpillar,Crawl ; Insect ; Legs ; Tree ; Butterfly
Ugly,Duck ; Beautiful ; Hideous ; Deformed ; Butt
Pregnant,Baby ; Fat ; Belly ; Life ; 9 Months
Stupid,Smart ; Clever ; Dull ; Dumb ; Intelligent
Towel,Dry ; Dishes ; Shower ; Soft ; Beach
Spoon,Fork ; Knife ; Eating ; Soup ; metal
Infant,Baby ; Cry ; Child ; Newborn ; Young
London,Big Ben ; England ; Europe ; Capital ; U.K.
"Paris, France",Romance ; Shopping ; Eiffel ; Tower ; French
Camping,Tent ; Outside ; Fire ; Roast ; Sleep
Exchange,Student ; Travel ; Study ; Abroad ; Experience
Theater,Movie ; Seats ; Popcorn ; Cinema ; Drama
Gold,Silver ; Metal ; Rich ; Money ; King
Death,Die ; Old ; Murder ; Cause ; Life
Flag,Wave ; Fly ; Old Glory ; Pole ; Fabric
Knee,Bend ; Joint ; Leg ; Move ; Cap
Describe,Talk About ; Words ; Characteristic ; Quality ; Depict
Web,Internet ; Spider ; World ; Wide ; Net
Toothbrush,Teeth ; Paste ; Clean ; Hygiene ; Rub
Fly,Wings ; Bird ; Airplane ; Insect ; Bee
Worm,Crawl ; Animal ; Wriggle ; Slimy ; Rain
Machine,Parts ; Device ; Metal ; Power ; Cog
Biology,Science ; Subject ; Life ; School ; Chemistry
Spiderman,Fly ; Peter ; parker ; Hero ; Super
Chemistry,Physics ; Chemicals ; School ; Science ; Subject
Waitress,Service ; Restaurant ; Food ; Bring ; Helper
History,Politics ; Past ; Events ; Finished ; Happen
Wash,Clean ; Shower ; Dishes ; Hair ; Laundry
Magazine,Pages ; Book ; Entertain ; News ; Read
Unfair,Unjust ; Fair ; Equal ; Just ; Unreasonable
Blanket,Bed ; Pillow ; Quilt ; Soft ; Warm
CD,Disc ; Music ; Listen ; Play ; Computer
Ice,Cold ; Solid ; Water ; Freezer ; Skate
Immediately,Fast ; Now ; Delay ; Rapid ; Soon
Salt,White ; Sweet ; Popcorn ; Cooking ; Flavor
Danger,Safe ; Harm ; Injury ; Protect ; Avoid
Stand,Sit ; Floor ; Feet ; Up ; Take
Bull,Ride ; Red ; Male ; Horns ; Charge
Magic,Wizard ; Witch ; Power ; Trick ; Show
Peaceful,Harmony ; Calm ; Quiet ; Tranquil ; Violent
Naughty,Bad ; Behavior ; Good ; Rude ; Disobedient
Normal,Strange ; Standard ; Typical ; Status Quo ; Weird
Rescue,Save ; Hero ; Danger ; Safe ; Help
Original,First ; Unique ; Special ; Standard ; Early
Match,Fire ; Strike ; Pair ; Together ; Equal
Hippo,Fat ; Animal ; Africa ; Large ; River
Cookbook,Food ; How To ; Kitchen ; Manual ; Guide
Fairy Tale,Prince ; Princess ; Magic ; Queen ; Story
Continent,Ocean ; Asia ; Land ; Seven ; Earth
Literature,Works ; American ; British ; Books ; Written
Director,Movie ; Producer ; In Charge ; Supervise ; Set
Globe,Earth ; World ; Model ; Geography ; Oceans
Advice,Guide ; Wise ; Recommend ; What to do ; Help
